woorden,lettergrepen,aantal lettergrepen
arbeidsbureau,"['ar', 'beids', 'bu', 'reau']",4
grabben,"['grab', 'ben']",2
eigenstandige,"['ei', 'gen', 'stan', 'di', 'ge']",5
liketen,"['like', 'ten']",2
waterstroom,"['wa', 'ter', 'stroom']",3
luis in,"['luis', 'in']",2
linze,"['lin', 'ze']",2
infaam,"['in', 'faam']",2
duivelsdozijnen,"['dui', 'vels', 'do', 'zij', 'nen']",5
censuur,"['cen', 'suur']",2
wensbron,"['wens', 'bron']",2
aanbestedingsbeleid,"['aan', 'be', 'ste', 'dings', 'be', 'leid']",6
racespelen,"['race', 'spe', 'len']",3
querulantjes,"['que', 'ru', 'lant', 'jes']",4
invaliditeitsverzekering,"['in', 'va', 'li', 'di', 'teits', 'ver', 'ze', 'ke', 'ring']",9
koekebrood,"['koe', 'ke', 'brood']",3
menigvoudig,"['me', 'nig', 'vou', 'dig']",4
zeilpriem,"['zeil', 'priem']",2
toelaten,"['toe', 'la', 'ten']",3
verpleegtehuis,"['ver', 'pleeg', 'te', 'huis']",4
import,"['im', 'port']",2
bijboekte,"['bij', 'boek', 'te']",3
pediatrie,"['pe', 'di', 'a', 'trie']",4
vergrijpen,"['ver', 'grij', 'pen']",3
legerplaats,"['le', 'ger', 'plaats']",3
geinig,"['gei', 'nig']",2
zijaanzicht,"['zij', 'aan', 'zicht']",3
karretje,"['kar', 're', 'tje']",3
baksteenrodere,"['bak', 'steen', 'ro', 'de', 're']",5
kippenvel,"['kip', 'pen', 'vel']",3
verenigingslokalen,"['ver', 'eni', 'gings', 'lo', 'ka', 'len']",6
extruderend,"['ex', 'tru', 'de', 'rend']",4
kampementen,"['kam', 'pe', 'men', 'ten']",4
afwachtender,"['af', 'wach', 'ten', 'der']",4
suizebollen,"['sui', 'ze', 'bol', 'len']",4
breedtegraadjes,"['breed', 'te', 'graad', 'jes']",4
Elvira's,"['El', 'vi', ""ra's""]",3
halfbloed,"['half', 'bloed']",2
streektaaltjes,"['streek', 'taal', 'tjes']",3
sneeuwmannen,"['sneeuw', 'man', 'nen']",3
fiducie,"['fi', 'du', 'cie']",3
opvallendst,"['op', 'val', 'lendst']",3
Galicië,"['Ga', 'li', 'cië']",3
schepen,"['sche', 'pen']",2
exciteren,"['ex', 'ci', 'te', 'ren']",4
Barbados,"['Bar', 'ba', 'dos']",3
werplood,"['werp', 'lood']",2
krommessen,"['krom', 'mes', 'sen']",3
keuze,"['keu', 'ze']",2
modeltheorie,"['mo', 'del', 'the', 'o', 'rie']",5
kanaliseerde,"['ka', 'na', 'li', 'seer', 'de']",5
geloenst,"['ge', 'loenst']",2
zweefvliegen,"['zweef', 'vlie', 'gen']",3
donderwolktoon,"['don', 'der', 'wolk', 'toon']",4
Letland,"['Let', 'land']",2
vestigen,"['ves', 'ti', 'gen']",3
symposiums,"['sym', 'po', 'si', 'ums']",4
fellers,"['fel', 'lers']",2
kader,"['ka', 'der']",2
jakkes,"['jak', 'kes']",2
